"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Parfomak P.W.","Parfomak, Paul W. (6508081953)","6508081953","Pipeline cybersecurity: Federal policy?","2013","America's Pipelines: Safety and Security Issues","","","","45","60","15","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84892087598&partnerID=40&md5=bd97d11f64a32560eae7f414cc587ab5","Book chapter","Final","","Scopus","2-s2.0-84892087598"
"López-Mercadoa C.A.; Spirin V.V.; Bueno Escobedo J.L.; Megret P.; Korobko D.A.; Zolotovskii I.O.; Fotiadi A.A.","López-Mercadoa, C.A. (57218836532); Spirin, V.V. (35567378200); Bueno Escobedo, J.L. (55295859100); Megret, P. (7006707607); Korobko, D.A. (7801382202); Zolotovskii, I.O. (7003418304); Fotiadi, A.A. (7003363314)","57218836532; 35567378200; 55295859100; 7006707607; 7801382202; 7003418304; 7003363314","Spatial-temporal averaging algorithm for improving vibration detection with low-cost phase-sensitive OTDR","2020","Proceedings of SPIE - The International Society for Optical Engineering","11354","","113542V","","","","1","10.1117/12.2557767","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85090397412&doi=10.1117%2f12.2557767&partnerID=40&md5=478a873ec3153c834fb36cde76fd5e7a","Conference paper","Final","","Scopus","2-s2.0-85090397412"
"Vanderzee M.; Fisher D.; Powley G.; Mohammad R.","Vanderzee, Michael (57225223807); Fisher, Doug (57194482769); Powley, Gail (6506825872); Mohammad, Rumi (57194482232)","57225223807; 57194482769; 6506825872; 57194482232","SCADA: Supervisory Control and Data Acquisition","2015","Oil and Gas Pipelines: Integrity and Safety Handbook","","","","13","26","13","4","10.1002/9781119019213.ch02","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84981298905&doi=10.1002%2f9781119019213.ch02&partnerID=40&md5=b85406e9bb967b5eb3679414286c8e59","Book chapter","Final","","Scopus","2-s2.0-84981298905"
"Rosenthal E.C.; Trudeau C.","Rosenthal, Edward C. (7102028371); Trudeau, Christian (36814160800)","7102028371; 36814160800","Interdependent security games in a unidirectional network","2024","Risk Analysis","44","6","","1430","1439","9","0","10.1111/risa.14234","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85173443599&doi=10.1111%2frisa.14234&partnerID=40&md5=177e37184e4342bcac17afecfc7b21b1","Article","Final","","Scopus","2-s2.0-85173443599"
"Liao Q.; Shi B.; Li S.; Song S.; Chen Y.; Zhang J.; Yao H.; Li Q.; Gong J.","Liao, Qingyun (57220158072); Shi, Bohui (36504935500); Li, Sha (57219246051); Song, Shangfei (57194524216); Chen, Yuchuan (57203833777); Zhang, Jinjun (56036044700); Yao, Haiyuan (35294227300); Li, Qingping (24066890700); Gong, Jing (8415156800)","57220158072; 36504935500; 57219246051; 57194524216; 57203833777; 56036044700; 35294227300; 24066890700; 8415156800","Molecular dynamics simulation of the effect of wax molecules on methane hydrate formation","2021","Fuel","297","","120778","","","","42","10.1016/j.fuel.2021.120778","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85103963038&doi=10.1016%2fj.fuel.2021.120778&partnerID=40&md5=81e58f199afd6683221675c83fecbd00","Article","Final","","Scopus","2-s2.0-85103963038"
"Lu B.; Gu J.; Wang Z.; Ye L.; Liu Y.; Yang J.; Wu B.; Ye Q.; Qu R.; Cai H.","Lu, Bin (56537468500); Gu, Jinfeng (57219512396); Wang, Zhaoyong (56227010100); Ye, Lei (57219513379); Liu, Yifan (57226297135); Yang, Junqi (57219512597); Wu, Bingyan (57213496132); Ye, Qing (35436713300); Qu, Ronghui (7005686256); Cai, Haiwen (7202853438)","56537468500; 57219512396; 56227010100; 57219513379; 57226297135; 57219512597; 57213496132; 35436713300; 7005686256; 7202853438","Ultra-Low-Noise MIMO Distributed Acoustic Sensor Using Few-Mode Optical Fibers","2022","Journal of Lightwave Technology","40","9","","3062","3071","9","11","10.1109/JLT.2022.3144191","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85123382891&doi=10.1109%2fJLT.2022.3144191&partnerID=40&md5=9cf50a1793d72237c9f44c42e7938844","Article","Final","","Scopus","2-s2.0-85123382891"
"An Y.; Jin S.; Feng X.; Feng H.; Zeng Z.","An, Yang (36092510400); Jin, Shijiu (7401822907); Feng, Xin (58362237000); Feng, Hao (35242210000); Zeng, Zhoumo (7402647223)","36092510400; 7401822907; 58362237000; 35242210000; 7402647223","Optical fiber pipeline security pre-warning system based on coherent rayleigh scattering","2015","Tianjin Daxue Xuebao (Ziran Kexue yu Gongcheng Jishu Ban)/Journal of Tianjin University Science and Technology","48","1","","70","75","5","13","10.11784/tdxbz201308012","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84922219257&doi=10.11784%2ftdxbz201308012&partnerID=40&md5=86f9d258ac9d52389f3ff7a9d90654bc","Article","Final","","Scopus","2-s2.0-84922219257"
"Gao Y.; Yu Y.; Wu S.","Gao, Yongtao (7404706244); Yu, Yongyan (55731540000); Wu, Shunchuan (55960893600)","7404706244; 55731540000; 55960893600","Effect of subway tunnel excavation with different covering thicknesses on pipeline security under traffic load","2013","Yanshilixue Yu Gongcheng Xuebao/Chinese Journal of Rock Mechanics and Engineering","32","SUPPL.2","","3557","3564","7","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84888223747&partnerID=40&md5=b0270ce3b568f66d6c0a0612407814c9","Article","Final","","Scopus","2-s2.0-84888223747"
"Kumar A.; Nadeem M.; Shameem M.","Kumar, Ankur (57226074958); Nadeem, Mohammad (57141925600); Shameem, Mohammad (57197706146)","57226074958; 57141925600; 57197706146","Prioritization of DevOps Maturity models using Fuzzy TOPSIS","2023","ACM International Conference Proceeding Series","","","","438","443","5","5","10.1145/3593434.3594241","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85162209453&doi=10.1145%2f3593434.3594241&partnerID=40&md5=537e8e8f82542897b640572c7e9ad6f6","Conference paper","Final","","Scopus","2-s2.0-85162209453"
"Caniglia A.; Dentamaro V.; Galantucci S.; Impedovo D.","Caniglia, Alessandro (6602564808); Dentamaro, Vincenzo (57053423100); Galantucci, Stefano (57259252100); Impedovo, Donato (24821831600)","6602564808; 57053423100; 57259252100; 24821831600","FOBICS: Assessing project security level through a metrics framework that evaluates DevSecOps performance","2025","Information and Software Technology","178","","107605","","","","3","10.1016/j.infsof.2024.107605","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85207252478&doi=10.1016%2fj.infsof.2024.107605&partnerID=40&md5=4606910fe583668652d18a61c182b7a9","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85207252478"
